gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4881228469	StillImage	image/jpeg	https://observation.org/photos/81465394.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881228469	StillImage	image/jpeg	https://observation.org/photos/81465393.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881228469	StillImage	image/jpeg	https://observation.org/photos/81465415.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881228469	StillImage	image/jpeg	https://observation.org/photos/81465395.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881228469	StillImage	image/jpeg	https://observation.org/photos/81465396.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881228469	StillImage	image/jpeg	https://observation.org/photos/81465397.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881215525	StillImage	image/jpeg	https://observation.org/photos/84611406.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881215525	StillImage	image/jpeg	https://observation.org/photos/84611407.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881213702	StillImage	image/jpeg	https://observation.org/photos/82408857.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881213702	StillImage	image/jpeg	https://observation.org/photos/82408858.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881186994	StillImage	image/jpeg	https://observation.org/photos/69650103.jpg							hobo2000			http://creativecommons.org/licenses/by-nc-nd/4.0/	hobo2000
4881186994	StillImage	image/jpeg	https://observation.org/photos/69650104.jpg							hobo2000			http://creativecommons.org/licenses/by-nc-nd/4.0/	hobo2000
4881171941	StillImage	image/jpeg	https://observation.org/photos/86834256.jpg							Erik Jansen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Erik Jansen
4881155286	StillImage	image/jpeg	https://observation.org/photos/84611582.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881155286	StillImage	image/jpeg	https://observation.org/photos/84611622.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881155286	StillImage	image/jpeg	https://observation.org/photos/84611583.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
